Name deutsch/lokal,Name wissenschaftlich,Einzugsgebiet,Gefährdungsstatus,L. Maggiore,Lower L. Lugano,Upper L. Lugano,L. Geneva,Lower L. Constance,Upper L. Constance,Upper L. Zürich,Lower L. Zürich,Walensee,Rotsee,L. Biel,L. Murten,L. Neuchâtel,L. Alpnach,"L. Lucerne, Gersauer Becken","L. Lucerne, Kreuztrichter","L. Lucerne, Urnersee",Greifensee,Pfäffikersee,L. Brienz,Klöntalersee,Lago di Poschiavo,Lac de Joux,Lac de l'Hongrin,L. Davos,Oeschinensee,L. St. Moritz,L. Silvaplana,L. Sils,Kritische Temperatur °C,Minimale Temperatur °C,Kritischer O2-Grenzwert (mg/l)
Atlantischer Stor,Acipenser sturio,Hochrhein,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,29.0,2,5.0
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,35.0,X,2.5
Cagnetta,Salaria fluviatilis,Ticino,3,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23.903846153846153,3,4.0
Agone,Alosa agone,Ticino,3,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23.903846153846153,6,4.5
Maifisch,Alosa alosa,Hochrhein,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23.903846153846153,1,4.0
Cheppia,Alosa fallax,"Ticino DU,",DU,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,18.0,0,3.5
Cobite italiano,Cobite italiano,Ticino,2,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23.903846153846153,3,3.0
"Steinbeisser, Dorngrundel",Cobitis taenia,Rhein,DU,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,35.0,X,3.0
"Schlammpeitzger, Moorgrundel",Misgurnus fossilis,Rhein Raum Basel,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,26.0,0,1.5
Cobite mascherato,Sabanejawia larvata,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,16.0,7,3.0
