Fisch,Name wissenschaftlich,Einzugsgebiet,Gefährdungsstatus,Kritische Temperatur °C,Minimale Temperatur °C,Kritischer O2-Grenzwert (mg/l),See,year,temperature_avg,temperature_min,temperature_max,scenario,depth,überlebt
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2055,10.03,9.13,10.41,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2056,9.19,7.84,11.12,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2057,9.37,8.55,10.98,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2058,9.5,8.32,10.25,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2059,9.33,9.17,9.92,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2060,9.41,8.66,9.6,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2061,9.75,8.58,10.4,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2062,10.03,8.66,10.36,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2063,9.67,8.31,10.31,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2064,9.24,8.73,10.33,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2065,10.07,8.35,11.01,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2066,9.54,8.02,10.27,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2067,10.12,8.61,10.34,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2068,10.09,8.55,10.69,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2069,9.59,8.58,10.27,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2070,9.18,8.87,10.2,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2071,9.8,7.33,10.33,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2072,9.52,8.82,9.94,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2073,9.44,8.59,11.29,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2074,9.6,7.47,11.03,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2075,9.05,8.82,9.67,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2076,9.08,8.45,10.38,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2077,9.39,8.51,9.92,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2078,10.22,8.67,10.75,RCP26,surface,True
