Name deutsch/lokal,Name wissenschaftlich,Einzugsgebiet,Gefährdungsstatus,Maggiore,Lower-Lugano,Upper-Lugano,Geneva,Lower-Constance,Upper-Constance,Upper-Zurich,Lower-Zurich,Walen,Rot,Biel,Murten,Neuchatel,Lucerne-Alpnacher,Lucerne-Gersauer,Lucerne-Kreuztrichter,Lucerne-Urnersee,Greifen,Pfaffikon,Brienz,Klontaler,Poschiavo,Joux,LacdelHongrin,LakeDavos,Oeschinensee,StMoritz,Silvaplana,Sils,Kritische Temperatur °C,Minimale Temperatur °C,Kritischer O2-Grenzwert (mg/l),Bildpfad
Marmorataforelle,Salmo marmoratus,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,19,X,3.0,data/img_webscrape/img_scraper/Salmo_marmoratus_1.jpg
Zebraforelle ,Salmo rhodanensis,Doubs,2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,22,3,3.0,data/img_webscrape/img_scraper/Salmo_rhodanensis_1.jpg
Lachs,Salmo salar,Hochrhein,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,17,8,3.0,data/img_webscrape/img_scraper/Salmo_salar_1.jpg
Bachforelle,Salmo trutta,"Rhein, Rhone, Inn",4,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,19,X,3.0,data/img_webscrape/img_scraper/Salmo_trutta_1.jpg
Flussforelle,Salmo trutta,,2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,NEIN,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,17,4,3.0,data/img_webscrape/img_scraper/Salmo_trutta_1.jpg
Seeforelle,Salmo trutta ,,2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,28,X,3.0,data/img_webscrape/img_scraper/Salmo_trutta__1.jpg
Meerforelle,Salmo trutta,Rhein,0,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,23,8,3.0,data/img_webscrape/img_scraper/Salmo_trutta_1.jpg
Jaunet,Salvelinus neocomensis,Neuenburgersee,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,24,8,3.0,data/img_webscrape/img_scraper/Salvelinus_neocomensis_1.jpg
Tiefseesaibling,Salvelinus profiundus,Bodensee,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,33,1,3.0,data/img_webscrape/img_scraper/Salvelinus_profiundus_1.jpg
Seesaibling,Salvelinus umbla seespezifisch,,3,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,X,3.0,data/img_webscrape/img_scraper/Salvelinus_umbla_seespezifisch_1.jpg
Wels,Silurus glanis,"Hochrhein, Aare, Jurarandseen, Bodensee",NG,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,34,1,3.0,data/img_webscrape/img_scraper/Silurus_glanis_1.jpg
Adriatische Aesche,Thymallus aeliani,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,18,1,3.0,data/img_webscrape/img_scraper/Thymallus_aeliani_1.jpg
Asche,Thymallus thymallus,"Rhein, Rhone, Doubs, Inn",2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,21,8,3.0,data/img_webscrape/img_scraper/Thymallus_thymallus_1.jpg
Italienischer Dohlenkrebs,Austropotamobius italicus,"Rhein, Rhone, Ticino",1,JA,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,25,1,3.0,data/img_webscrape/img_scraper/Austropotamobius_italicus_1.jpg
Dohlenkrebs,Austropotamobius pallipes,"Rhein, Rhone, Doubs, Ticiono",2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,8,3.0,data/img_webscrape/img_scraper/Austropotamobius_pallipes_1.jpg
Steinkrebs,Austropotamobius torrentium,Rhein,2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,21,5,3.0,data/img_webscrape/img_scraper/Austropotamobius_torrentium_1.jpg
Edelkrebs,Astacus astacus,"Rhein, Rhone, Doubs, Inn",3,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,16,5,3.0,data/img_webscrape/img_scraper/Astacus_astacus_1.jpg
Sanguinerola italiana,Phoxinus lumaireul,Ticino,3,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,JA,NEIN,28,4,3.0,data/img_webscrape/img_scraper/Phoxinus_lumaireul_1.jpg
